1.0,0.4118184,0.4108184,[ 1.5        -3.7115018   0.10882507 -2.3561945   1.475871    0.9031267 ],2,0.0
1.0,0.5102063,0.5092063,[ 2.         -3.7486248   0.07170197 -2.2252948   1.5087798   0.75267583],4,0.0
1.0,0.1311713,0.1301713,[-2.         -4.175539   -0.16017613 -2.0943952   2.0141413   0.78469896],2,0.0
1.0,0.39209777,0.39109778,[ 1.5        -4.205744   -0.16910377 -1.5707964   1.9595265  -0.05437425],0,0.0
1.0,0.24986024,0.24886024,[-2.5        -3.9436982  -0.16483343 -2.3561945   1.6938921   0.7723922 ],1,0.0
1.0,0.2961356,0.29513562,[-2.         -4.329218   -0.72203165 -2.4870942   2.142775    0.7006008 ],4,0.0
1.0,0.4125359,0.41153592,[ 1.         -3.9353397  -0.03835864 -2.0943952   1.6873821   0.5658611 ],3,0.0
1.0,0.50997216,0.50897217,[ 1.5        -3.8812087  -0.01275801 -2.0943952   1.6345547   0.5783314 ],0,0.0
1.0,0.26531702,0.26431704,[-2.5        -4.4620547  -0.2066821  -2.0943952   2.2323332   0.64333314],1,0.0
1.0,0.23714824,0.23614824,[-2.5        -3.8299758  -0.0455734  -2.4870942   1.5818093   0.95729667],3,0.0
1.0,0.14507057,0.14407057,[ 0.         -4.063373   -0.39743498 -1.9634954   1.8276002   0.2843827 ],2,0.0
1.0,0.23177738,0.23077738,[-2.         -3.9171815  -0.13831691 -2.3561945   1.667184    0.7839351 ],2,0.0
1.0,0.023688687,0.022688687,[ 0.5        -4.3093963  -0.15445335 -1.1780972   2.062307   -0.43946257],2,0.0
1.0,0.1382143,0.1372143,[-1.         -4.320576   -0.12739375 -1.5707964   2.0723515  -0.03645303],2,0.0
1.0,0.09543915,0.09443915,[-3.         -4.35914    -0.26165664 -2.0943952   2.1691449   0.7321544 ],4,0.0
1.0,0.20624901,0.20524901,[-1.5        -4.0808372  -0.1155794  -1.8325957   1.8309149   0.26978847],1,0.0
1.0,0.15742673,0.15642673,[ 0.         -4.150414   -0.44090572 -2.0943952   1.9190573   0.40186173],2,0.0
1.0,6.1388283,6.1378284,[-1.5        -4.355468   -0.76749796 -2.6179938   2.1784186   0.81753725],3,-5.247172
1.0,0.35662192,0.35562193,[ 3.5       -4.0144157  0.6260754 -2.6179938  1.8158958  1.2540067],4,0.0
1.0,0.36263573,0.36163574,[ 0.         -4.063373   -0.39743498 -1.9634954   1.8276002   0.2843827 ],2,0.0
1.0,0.2759143,0.27491432,[ 0.5        -4.022564   -0.10097895 -1.5707964   1.8512223  -0.25401756],0,0.0
1.0,0.20425035,0.20325035,[ 1.         -4.071961   -0.15445307 -1.701696    1.8251562   0.07955959],4,0.0
1.0,0.18692048,0.18592048,[-1.5       -3.7569244  0.049629  -2.6179938  1.5149984  1.1346039],3,0.0
1.0,0.110012904,0.1090129,[-1.         -4.380576   -0.12739375 -1.5707964   2.1323125  -0.03565272],4,0.0
1.0,0.2852862,0.2842862,[-2.5        -4.394933   -0.17358147 -1.8325957   2.1699479   0.39629313],4,0.0
1.0,0.08282776,0.08182776,[ 1.         -4.048249   -0.06507018 -2.3561945   1.8010079   0.737454  ],0,0.0
1.0,0.14083304,0.13983303,[ 0.         -4.133336   -0.09412632 -1.8325957   1.8934295   0.17179114],2,0.0
1.0,0.29108012,0.29008013,[-1.         -4.0602155  -0.12751757 -1.701696    1.8121873   0.09046164],2,0.0
